pc1,pc2,true_label,pred_label,correct
-0.12129053183194922,-0.24462281514994155,0,1,0
-0.032099886958790715,-0.14771540001205913,0,0,1
-0.15820101513152907,-0.2608728693621811,0,1,0
0.35983574125031254,-0.24159500464199168,1,1,1
0.03274024075056675,-0.6066292204336188,1,1,1
-0.10766839106153156,-0.22841928982154655,0,1,0
-0.1135504770826741,-0.2257920161637869,0,1,0
0.04538883103802086,-0.06490228313951188,0,0,1
-0.032099886958790715,-0.14771540001205913,0,0,1
-0.06606623799053844,-0.1850309904927122,0,0,1
0.05057022551556945,-0.06395359087690881,0,0,1
0.43171774263131657,-0.18298393151929437,1,1,1
-0.11714998779437887,-0.22507649024369328,0,0,1
5.998171607041172,3.0657527557008852,1,1,1
-0.09464888588546892,-0.21121218952034854,0,1,0
-0.0557420355382912,-0.16226233087750383,0,0,1
-0.4183880969963396,-0.5529623870407933,1,1,1
-0.02765881574513719,-0.13658513450129411,0,1,0
0.0480753920610694,-0.5875244127758767,1,1,1
0.3495778078769661,-0.26166421114645555,0,1,0
0.4075684037020729,-0.2043147840937358,1,1,1
0.4522403454156229,-0.1645292872739619,1,1,1
-0.09415015233675776,-0.2129541932853151,0,0,1
-0.06442341322660133,-0.18281710904802845,0,0,1
-0.01311259963587536,-0.1297215773054747,0,0,1
5.998171607041172,3.0657527557008852,1,1,1
-0.1234378189056723,-0.22582050121976568,0,0,1
-0.04461421304408002,-0.16450227412212445,0,1,0
0.3538965411379957,-0.26247013107657746,1,1,1
0.4644176262856906,-0.14293093714507923,1,1,1
-0.13683425382162026,-0.24422730991101899,0,0,1
0.03171538548998405,-0.5988718767925608,1,1,1
0.28957848727015234,-0.33874308303740425,1,1,1
0.029719202375387863,-0.6076273035965666,1,1,1
0.08071983990781897,-0.03773711558145463,0,0,1
0.3694321904237613,-0.24365996718902172,1,1,1
-0.09049193319655878,-0.11836164826300144,0,0,1
0.039254506451172684,-0.07238008621359837,1,1,1
-0.4010435855624719,-0.5410309652182218,1,1,1
-0.4082753496067261,-0.5350871013155858,1,1,1
-0.4028961595933728,-0.5398820999010274,1,1,1
-0.40577672134007137,-0.5426335525851635,0,1,0
-0.41810819152573664,-0.5437232334659191,1,1,1
-0.1234378189056723,-0.22582050121976568,0,0,1
-0.03734526224719059,-0.1532064753159473,0,0,1
-0.025044667701410343,-0.1433535494812835,1,1,1
-0.012037920735238931,-0.1267807973996952,0,0,1
0.059316472674724466,-0.0514454836012344,1,1,1
-0.4051247686427045,-0.5364016023216819,1,1,1
0.4065826298651083,-0.1933108481475889,1,1,1
-0.4010435855624719,-0.5410309652182218,1,1,1
-0.09568225977970762,-0.210953781058369,1,1,1
-0.4082753496067261,-0.5350871013155858,1,1,1
-0.08368070307414789,-0.1931117839792868,0,0,1
-0.013164403202990817,-0.1273968949119379,0,0,1
-0.4028961595933728,-0.5398820999010274,1,1,1
-0.42295812581692455,-0.5608167025133913,1,1,1
0.051403467837044664,-0.06085801009603929,0,0,1
-0.03327042260906975,-0.15501273890135506,1,1,1
0.039254506451172684,-0.07238008621359837,1,1,1
-0.05486245486658204,-0.1656218050051688,0,1,0
0.059316472674724466,-0.0514454836012344,1,1,1
-0.4051247686427045,-0.5364016023216819,1,1,1
-0.04717744062603046,-0.16133414875361698,0,0,1
-0.08374655405177217,-0.19318561336455806,0,0,1
-0.4028961595933728,-0.5398820999010274,1,1,1
-0.40952320455944435,-0.5392346901119341,1,1,1
-0.11677228759806851,-0.22329270729865502,0,0,1
0.059316472674724466,-0.0514454836012344,1,1,1
-0.4051247686427045,-0.5364016023216819,1,1,1
0.3157132871225828,-0.2987370925769112,0,1,0
-0.4010435855624719,-0.5410309652182218,1,1,1
-0.4082753496067261,-0.5350871013155858,1,1,1
-0.11714998779437887,-0.22507649024369328,0,0,1
-0.4028961595933728,-0.5398820999010274,1,1,1
0.059316472674724466,-0.0514454836012344,1,1,1
-0.4051247686427045,-0.5364016023216819,1,1,1
-0.05757071529941998,-0.16242687593499766,0,0,1
-0.4010435855624719,-0.5410309652182218,1,1,1
-0.4082753496067261,-0.5350871013155858,1,1,1
