threshold,accuracy,precision_1,recall_1,f1_1,review_rate
-0.8856724872947122,0.6122994652406417,0.5813953488372093,0.9950248756218906,0.7339449541284404,0.9278074866310161
-0.8813899708678716,0.6149732620320856,0.5830903790087464,0.9950248756218906,0.7352941176470589,0.9278074866310161
-0.8766602889783321,0.6176470588235294,0.5847953216374269,0.9950248756218906,0.7366482504604052,0.9278074866310161
-0.8761670789537359,0.6203208556149733,0.5865102639296188,0.9950248756218906,0.7380073800738007,0.9278074866310161
-0.875821147197517,0.6229946524064172,0.5882352941176471,0.9950248756218906,0.7393715341959335,0.9278074866310161
-0.8702810155774321,0.6417112299465241,0.6006006006006006,0.9950248756218906,0.7490636704119851,0.9278074866310161
-0.864935782209147,0.6577540106951871,0.6116207951070336,0.9950248756218906,0.7575757575757576,0.9278074866310161
-0.8618570765787461,0.660427807486631,0.6134969325153374,0.9950248756218906,0.7590132827324478,0.9278074866310161
-0.8554117799904111,0.6631016042780749,0.6153846153846154,0.9950248756218906,0.7604562737642585,0.9278074866310161
-0.8484803536569587,0.6657754010695187,0.6172839506172839,0.9950248756218906,0.7619047619047619,0.9278074866310161
-0.8461287884390041,0.6684491978609626,0.6191950464396285,0.9950248756218906,0.7633587786259542,0.9278074866310161
-0.845776126833131,0.6711229946524064,0.6211180124223602,0.9950248756218906,0.7648183556405354,0.9278074866310161
-0.8455977239028885,0.6737967914438503,0.6230529595015576,0.9950248756218906,0.7662835249042146,0.9278074866310161
-0.8411581495732641,0.6764705882352942,0.625,0.9950248756218906,0.7677543186180422,0.9278074866310161
-0.840122849603014,0.679144385026738,0.6269592476489029,0.9950248756218906,0.7692307692307693,0.9278074866310161
-0.8355370126522847,0.6818181818181818,0.6289308176100629,0.9950248756218906,0.7707129094412332,0.9278074866310161
-0.8350220149742851,0.6844919786096256,0.6309148264984227,0.9950248756218906,0.7722007722007722,0.9278074866310161
-0.8300339626071389,0.6871657754010695,0.6329113924050633,0.9950248756218906,0.7736943907156673,0.9278074866310161
-0.829562835216965,0.6898395721925134,0.6349206349206349,0.9950248756218906,0.7751937984496124,0.9278074866310161
-0.829380597720101,0.6925133689839572,0.6369426751592356,0.9950248756218906,0.7766990291262136,0.9278074866310161
-0.8290548132979945,0.6951871657754011,0.6389776357827476,0.9950248756218906,0.7782101167315175,0.9278074866310161
-0.8284400570836963,0.6925133689839572,0.6378205128205128,0.9900497512437811,0.7758284600389863,0.9278074866310161
-0.8204719995874576,0.6951871657754011,0.639871382636656,0.9900497512437811,0.77734375,0.9278074866310161
-0.814206206324803,0.6925133689839572,0.6387096774193548,0.9850746268656716,0.7749510763209393,0.9278074866310161
-0.8126438061893104,0.6951871657754011,0.6407766990291263,0.9850746268656716,0.7764705882352941,0.9278074866310161
-0.7968102555937564,0.6978609625668449,0.6428571428571429,0.9850746268656716,0.7779960707269156,0.9278074866310161
-0.7893783794240432,0.7005347593582888,0.6449511400651465,0.9850746268656716,0.7795275590551181,0.9278074866310161
-0.7816364422209396,0.7032085561497327,0.6470588235294118,0.9850746268656716,0.7810650887573964,0.9278074866310161
-0.7796679477230359,0.7058823529411765,0.6491803278688525,0.9850746268656716,0.782608695652174,0.9278074866310161
-0.7569740655330799,0.7112299465240641,0.6534653465346535,0.9850746268656716,0.7857142857142857,0.9278074866310161
-0.7555182588335763,0.7245989304812834,0.6644295302013423,0.9850746268656716,0.7935871743486974,0.9278074866310161
-0.7491210413992739,0.7272727272727273,0.6666666666666666,0.9850746268656716,0.7951807228915663,0.9278074866310161
-0.7319521170771788,0.7299465240641712,0.668918918918919,0.9850746268656716,0.7967806841046278,0.9278074866310161
-0.7305363740008874,0.7352941176470589,0.673469387755102,0.9850746268656716,0.8,0.9278074866310161
-0.7156697040654669,0.7379679144385026,0.6757679180887372,0.9850746268656716,0.8016194331983806,0.9278074866310161
-0.7094339232851459,0.7299465240641712,0.6724137931034483,0.9701492537313433,0.7942973523421588,0.9278074866310161
-0.707978116585642,0.7459893048128342,0.6866197183098591,0.9701492537313433,0.8041237113402062,0.9278074866310161
-0.7048804009494152,0.7566844919786097,0.6964285714285714,0.9701492537313433,0.8108108108108109,0.9278074866310161
-0.6805572488535154,0.7593582887700535,0.6989247311827957,0.9701492537313433,0.8125,0.9278074866310161
-0.6737973125278152,0.7620320855614974,0.7014388489208633,0.9701492537313433,0.81419624217119,0.9278074866310161
